kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.4,23036.1,65536,8388608,1,0,0
read,1,1,1.6,26720,65536,8388608,1,0,0
read,1,2,1.8,27454.4,65536,8388608,1,0,0
read,1,3,1.6,28462.9,65536,8388608,1,0,0
read,1,4,1.2,29813.6,65536,8388608,1,0,0
read,2,0,1.3,24268.6,65536,8388608,1,0,0
read,2,1,1.7,22047.8,65536,8388608,1,0,0
read,2,2,1.4,21447.3,65536,8388608,1,0,0
read,2,3,1.5,22325.9,65536,8388608,1,0,0
read,2,4,1.6,22342.9,65536,8388608,1,0,0
read,4,0,2.4,23663.1,65536,8388608,1,0,0
read,4,1,1.7,21376,65536,8388608,1,0,0
read,4,2,2.1,20330.3,65536,8388608,1,0,0
read,4,3,2,20189.6,65536,8388608,1,0,0
read,4,4,1.7,23081.4,65536,8388608,1,0,0
read,8,0,2.8,21440.7,65536,8388608,1,0,0
read,8,1,3.1,20450.6,65536,8388608,1,0,0
read,8,2,2.5,20273.9,65536,8388608,1,0,0
read,8,3,2.4,20000.3,65536,8388608,1,0,0
read,8,4,2,20203.8,65536,8388608,1,0,0
preview,1,0,0,30370.3,0,0,0,64762,250
preview,1,1,0,31150.3,0,0,0,64762,250
preview,1,2,0,31250,0,0,0,64762,250
preview,1,3,0,30278.4,0,0,0,64762,250
preview,1,4,0,30257.1,0,0,0,64762,250
