kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.1,20249.8,65536,8388608,2,0,0
read,1,1,1.2,21459.7,65536,8388608,2,0,0
read,1,2,1.8,21495.1,65536,8388608,2,0,0
read,1,3,1.4,21718.9,65536,8388608,2,0,0
read,1,4,1.2,21023.9,65536,8388608,2,0,0
read,2,0,2.2,21043.2,65536,8388608,3,0,0
read,2,1,1.7,23838,65536,8388608,3,0,0
read,2,2,1.8,22539.2,65536,8388608,3,0,0
read,2,3,2.2,21635.2,65536,8388608,3,0,0
read,2,4,1.6,20927.3,65536,8388608,3,0,0
read,4,0,2,20266.3,65536,8388608,5,0,0
read,4,1,2.1,19468.9,65536,8388608,5,0,0
read,4,2,2.7,23420.9,65536,8388608,5,0,0
read,4,3,2.3,24201,65536,8388608,5,0,0
read,4,4,2,25254.6,65536,8388608,5,0,0
read,8,0,3.1,19585.5,65536,8388608,9,0,0
read,8,1,2.8,20165.1,65536,8388608,9,0,0
read,8,2,8.5,23966.8,65536,8388608,9,0,0
read,8,3,2.8,20671.1,65536,8388608,9,0,0
read,8,4,2.8,22809.4,65536,8388608,9,0,0
preview,1,0,0,37002.6,0,0,0,64558,126
preview,1,1,0,34501.1,0,0,0,64558,126
preview,1,2,0,35133.5,0,0,0,64558,126
preview,1,3,0,38623.5,0,0,0,64558,126
preview,1,4,0,35098.2,0,0,0,64558,126
