kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.1,18592.8,65536,8388608,2,0,0
read,1,1,1.1,19050.9,65536,8388608,2,0,0
read,1,2,1.1,18561.3,65536,8388608,2,0,0
read,1,3,1,19095.1,65536,8388608,2,0,0
read,1,4,1.1,19231.3,65536,8388608,2,0,0
read,2,0,1.3,18621.4,65536,8388608,3,0,0
read,2,1,1.2,18504.4,65536,8388608,3,0,0
read,2,2,1.3,18861.5,65536,8388608,3,0,0
read,2,3,1.6,18658.2,65536,8388608,3,0,0
read,2,4,1.2,18735.1,65536,8388608,3,0,0
read,4,0,1.7,18702,65536,8388608,5,0,0
read,4,1,2,18610.4,65536,8388608,5,0,0
read,4,2,1.8,18616.2,65536,8388608,5,0,0
read,4,3,1.9,18548.1,65536,8388608,5,0,0
read,4,4,1.5,18639.9,65536,8388608,5,0,0
read,8,0,2.6,18922.6,65536,8388608,9,0,0
read,8,1,3.6,18864.1,65536,8388608,9,0,0
read,8,2,2.5,18767.1,65536,8388608,9,0,0
read,8,3,2.5,18852.6,65536,8388608,9,0,0
read,8,4,2.5,18714,65536,8388608,9,0,0
preview,1,0,0,29729.6,0,0,0,64558,126
preview,1,1,0,29802.2,0,0,0,64558,126
preview,1,2,0,29645.3,0,0,0,64558,126
preview,1,3,0,29809.2,0,0,0,64558,126
preview,1,4,0,29800.5,0,0,0,64558,126
