kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,2.2,19519.5,65536,8388608,1,0,0
read,1,1,2.4,19369.1,65536,8388608,1,0,0
read,1,2,3.4,19014.2,65536,8388608,1,0,0
read,1,3,1.7,18987.9,65536,8388608,1,0,0
read,1,4,2,18849,65536,8388608,1,0,0
read,2,0,2,18834.5,65536,8388608,1,0,0
read,2,1,2.2,19004.2,65536,8388608,1,0,0
read,2,2,2,19133.8,65536,8388608,1,0,0
read,2,3,2,18983.1,65536,8388608,1,0,0
read,2,4,2.3,19108,65536,8388608,1,0,0
read,4,0,2.8,20451.9,65536,8388608,1,0,0
read,4,1,2.6,20128.3,65536,8388608,1,0,0
read,4,2,2.7,19745.5,65536,8388608,1,0,0
read,4,3,2.5,19197.2,65536,8388608,1,0,0
read,4,4,2.5,18707.3,65536,8388608,1,0,0
read,8,0,4.2,18647.4,65536,8388608,1,0,0
read,8,1,3.5,18681.3,65536,8388608,1,0,0
read,8,2,3.7,18666.3,65536,8388608,1,0,0
read,8,3,3.8,18645.4,65536,8388608,1,0,0
read,8,4,3.5,18726.4,65536,8388608,1,0,0
preview,1,0,0,32081.5,0,0,0,64762,250
preview,1,1,0,32776.2,0,0,0,64762,250
preview,1,2,0,31594.4,0,0,0,64762,250
preview,1,3,0,34373.7,0,0,0,64762,250
preview,1,4,0,32630.7,0,0,0,64762,250
