kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.7,18869.9,65536,8388608,2,0,0
read,1,1,1.6,18856.8,65536,8388608,2,0,0
read,1,2,1.6,18642.6,65536,8388608,2,0,0
read,1,3,1.5,18648.8,65536,8388608,2,0,0
read,1,4,1.8,18593.7,65536,8388608,2,0,0
read,2,0,2.3,18962,65536,8388608,3,0,0
read,2,1,2.3,19128.1,65536,8388608,3,0,0
read,2,2,2.6,19063.9,65536,8388608,3,0,0
read,2,3,2.4,19329.8,65536,8388608,3,0,0
read,2,4,2.3,20335.2,65536,8388608,3,0,0
read,4,0,4,19047.2,65536,8388608,5,0,0
read,4,1,2.9,19161.5,65536,8388608,5,0,0
read,4,2,3.4,20218.3,65536,8388608,5,0,0
read,4,3,3.4,20217.6,65536,8388608,5,0,0
read,4,4,2.9,20867.5,65536,8388608,5,0,0
read,8,0,4.6,19815.8,65536,8388608,9,0,0
read,8,1,4.5,19432.8,65536,8388608,9,0,0
read,8,2,4.4,19528.1,65536,8388608,9,0,0
read,8,3,6.3,20385.8,65536,8388608,9,0,0
read,8,4,4.4,19510,65536,8388608,9,0,0
preview,1,0,0,30637.7,0,0,0,64558,126
preview,1,1,0,29937.8,0,0,0,64558,126
preview,1,2,0,30562.7,0,0,0,64558,126
preview,1,3,0,30130.4,0,0,0,64558,126
preview,1,4,0,32264.4,0,0,0,64558,126
