kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.6,19705.8,65536,8388608,1,0,0
read,1,1,1.6,19909.7,65536,8388608,1,0,0
read,1,2,1.6,19965.8,65536,8388608,1,0,0
read,1,3,1.6,18742.6,65536,8388608,1,0,0
read,1,4,1.7,18783.9,65536,8388608,1,0,0
read,2,0,2.3,19651.7,65536,8388608,1,0,0
read,2,1,2.1,19006.4,65536,8388608,1,0,0
read,2,2,2,18707.1,65536,8388608,1,0,0
read,2,3,2.3,18886.8,65536,8388608,1,0,0
read,2,4,1.9,18688.6,65536,8388608,1,0,0
read,4,0,2.6,20237.1,65536,8388608,1,0,0
read,4,1,2.8,19935.5,65536,8388608,1,0,0
read,4,2,3.2,18626.5,65536,8388608,1,0,0
read,4,3,2.9,19273.9,65536,8388608,1,0,0
read,4,4,3.9,18925.2,65536,8388608,1,0,0
read,8,0,3.9,18846,65536,8388608,1,0,0
read,8,1,4,18602.2,65536,8388608,1,0,0
read,8,2,4.1,19004.7,65536,8388608,1,0,0
read,8,3,3.7,18944.6,65536,8388608,1,0,0
read,8,4,4.7,18732,65536,8388608,1,0,0
preview,1,0,0,32821.3,0,0,0,64762,250
preview,1,1,0,30982.1,0,0,0,64762,250
preview,1,2,0,32953.1,0,0,0,64762,250
preview,1,3,0,33361.2,0,0,0,64762,250
preview,1,4,0,30308.5,0,0,0,64762,250
