kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.6,18853.4,65536,8388608,2,0,0
read,1,1,1.6,18970,65536,8388608,2,0,0
read,1,2,1.8,18822.8,65536,8388608,2,0,0
read,1,3,1.8,20732.5,65536,8388608,2,0,0
read,1,4,1.8,19841,65536,8388608,2,0,0
read,2,0,2.4,19369.3,65536,8388608,3,0,0
read,2,1,2.1,19041.3,65536,8388608,3,0,0
read,2,2,2.4,18737.5,65536,8388608,3,0,0
read,2,3,2.5,22063,65536,8388608,3,0,0
read,2,4,2.7,18978.2,65536,8388608,3,0,0
read,4,0,2.2,19053.6,65536,8388608,5,0,0
read,4,1,2,19366.2,65536,8388608,5,0,0
read,4,2,1.9,19410.9,65536,8388608,5,0,0
read,4,3,1.8,20855.7,65536,8388608,5,0,0
read,4,4,2,20074,65536,8388608,5,0,0
read,8,0,2.8,19817.2,65536,8388608,9,0,0
read,8,1,2.8,20265.8,65536,8388608,9,0,0
read,8,2,2.4,18417,65536,8388608,9,0,0
read,8,3,2.3,18429.4,65536,8388608,9,0,0
read,8,4,2.5,18580.4,65536,8388608,9,0,0
preview,1,0,0,29966.7,0,0,0,64558,126
preview,1,1,0,29887.8,0,0,0,64558,126
preview,1,2,0,29793.6,0,0,0,64558,126
preview,1,3,0,29944.3,0,0,0,64558,126
preview,1,4,0,30516.1,0,0,0,64558,126
