kind,readers,iteration,setup_us,scan_us,lines,units,converters,preview_units,max_preview
read,1,0,1.7,19150.1,65536,8388608,1,0,0
read,1,1,1.7,22876.4,65536,8388608,1,0,0
read,1,2,1.9,20164.4,65536,8388608,1,0,0
read,1,3,2.1,22834.9,65536,8388608,1,0,0
read,1,4,1.6,18857.2,65536,8388608,1,0,0
read,2,0,2,19895.4,65536,8388608,1,0,0
read,2,1,2.2,18726.8,65536,8388608,1,0,0
read,2,2,2.1,18774.6,65536,8388608,1,0,0
read,2,3,2.4,19789.6,65536,8388608,1,0,0
read,2,4,2.2,19704.7,65536,8388608,1,0,0
read,4,0,3.1,19702.7,65536,8388608,1,0,0
read,4,1,2.8,19506.8,65536,8388608,1,0,0
read,4,2,2.9,19060.9,65536,8388608,1,0,0
read,4,3,3.2,19002.9,65536,8388608,1,0,0
read,4,4,2.8,19425.5,65536,8388608,1,0,0
read,8,0,4.3,20005.3,65536,8388608,1,0,0
read,8,1,4,18786.3,65536,8388608,1,0,0
read,8,2,4,18822,65536,8388608,1,0,0
read,8,3,3.6,19382.5,65536,8388608,1,0,0
read,8,4,3.9,18899.4,65536,8388608,1,0,0
preview,1,0,0,29868.2,0,0,0,64762,250
preview,1,1,0,30166.8,0,0,0,64762,250
preview,1,2,0,30158.1,0,0,0,64762,250
preview,1,3,0,31377.4,0,0,0,64762,250
preview,1,4,0,30716.1,0,0,0,64762,250
